user_id,run_id,weather,map_name,error_type,speed_kmh,steer_angle_deg,timestamp,x,y,z,details
participant_01,2,day,Town10HD_Opt,Solid line crossing,25.368,8.186,2026-03-05 11:56:05.418759,43.7495346069336,39.67432022094727,0.001706504728645,Solid line crossing
participant_01,2,day,Town10HD_Opt,Harsh braking,46.998,-0.458,2026-03-05 11:56:42.905363,34.66073226928711,-64.77985382080078,0.0020869825966656,decel_mps2=4.9
participant_01,2,day,Town10HD_Opt,Solid line crossing,48.34,-0.089,2026-03-05 11:57:32.165114,-15.216958999633787,26.84381484985352,0.0022018051240593,Solid line crossing
participant_01,2,day,Town10HD_Opt,Red light violation,28.631,1.434,2026-03-05 11:57:36.246746,18.32229423522949,26.4326171875,0.0023109053727239,Red light violation
participant_01,5,day,Town10HD_Opt,Solid line crossing,34.393,0.193,2026-03-05 12:02:53.878731,19.041963577270508,28.519962310791016,0.0020371244754642,Solid line crossing
participant_01,5,day,Town10HD_Opt,Stop sign violation,24.575,15.753,2026-03-05 12:02:57.583543,34.38377380371094,30.5232162475586,0.0021509164944291,stop_sign_id=1062
participant_01,5,day,Town10HD_Opt,Solid line crossing,23.383,0.338,2026-03-05 12:03:16.707180,70.80083465576172,70.06865692138672,0.0020391463767737,Solid line crossing
participant_01,3,day,Town10HD_Opt,Solid line crossing,35.93,-7.244,2026-03-05 12:06:51.944759,46.01784896850586,49.54199981689453,0.0023859404027462,Solid line crossing
participant_01,3,day,Town10HD_Opt,Stop sign violation,0.006,-0.439,2026-03-05 12:08:14.635867,66.30613708496094,24.28051376342773,0.0019189452286809,stop_sign_id=1300
participant_01,3,day,Town10HD_Opt,Solid line crossing,5.236,-9.578,2026-03-05 12:08:21.423583,67.55183410644531,24.172088623046875,0.0021951294038444,Solid line crossing
participant_01,3,day,Town10HD_Opt,Vehicle-pedestrian collision,28.74,0.059,2026-03-05 12:09:17.565688,5.216000080108643,-64.35426330566406,0.0023022841196507,Vehicle-pedestrian collision
participant_01,3,day,Town10HD_Opt,Vehicle-pedestrian collision,9.465,-0.327,2026-03-05 12:10:35.533225,-73.42848205566406,27.85484504699707,0.0020083235576748,Vehicle-pedestrian collision
participant_01,3,day,Town10HD_Opt,Solid line crossing,48.492,-0.153,2026-03-05 12:11:08.146698,-2.881365299224853,27.6015625,0.0020999144762754,Solid line crossing
participant_02,1,day,Town10HD_Opt,Solid line crossing,32.654,0.515,2026-03-06 07:39:31.392766,-111.39336395263672,-20.2265567779541,0.0018707275157794,Solid line crossing
participant_02,1,day,Town10HD_Opt,Solid line crossing,48.412,-0.707,2026-03-06 07:39:43.751713,-71.7540512084961,27.776302337646484,0.0021915435791015,Solid line crossing
participant_02,1,day,Town10HD_Opt,Solid line crossing,22.548,0.799,2026-03-06 07:40:53.060175,-29.552928924560547,70.34397888183594,0.0022299194242805,Solid line crossing
participant_02,1,day,Town10HD_Opt,Vehicle collision,0.073,18.664,2026-03-06 07:42:04.679022,71.31157684326172,-52.9088134765625,0.0388643257319927,Vehicle collision
participant_02,1,day,Town10HD_Opt,Harsh braking,0.0,0.0,2026-03-06 07:42:06.506000,0.0,0.0,0.0,decel_mps2=5.5
participant_02,2,day,Town10HD_Opt,Solid line crossing,0.002,-0.613,2026-03-06 07:52:30.354772,79.86547088623047,28.506080627441406,0.0019189834129065,Solid line crossing
participant_02,2,day,Town10HD_Opt,Harsh braking,17.802,19.249,2026-03-06 07:54:21.331079,39.19115447998047,34.982723236083984,0.001872711116448,decel_mps2=5.5
participant_02,2,day,Town10HD_Opt,Stop sign violation,30.867,-10.978,2026-03-06 07:54:37.380525,41.98047637939453,61.44430541992188,0.0018352509941905,stop_sign_id=678
participant_02,2,day,Town10HD_Opt,Solid line crossing,34.051,6.319,2026-03-06 07:55:29.436619,-41.29298400878906,115.76919555664062,0.0019360734149813,Solid line crossing
participant_02,2,day,Town10HD_Opt,Solid line crossing,27.943,-0.136,2026-03-06 07:55:33.627446,-41.40507125854492,93.260498046875,0.0020679091103374,Solid line crossing
participant_02,3,day,Town10HD_Opt,Stop sign violation,27.747,0.082,2026-03-06 07:59:12.394545,-9.174362182617188,70.08928680419922,0.0020212554372847,stop_sign_id=833
participant_02,3,day,Town10HD_Opt,Solid line crossing,0.001,-0.287,2026-03-06 08:00:02.784687,66.0994644165039,26.255714416503903,0.0019189452286809,Solid line crossing
participant_02,3,day,Town10HD_Opt,Vehicle-pedestrian collision,0.002,-0.458,2026-03-06 08:01:06.005496,77.56317138671875,28.585432052612305,0.0018886947073042,Vehicle-pedestrian collision
participant_02,3,day,Town10HD_Opt,Stop sign violation,47.265,-5.411,2026-03-06 08:01:43.499724,85.43235778808594,-61.50498962402344,0.0020814132876694,stop_sign_id=1050
participant_02,3,day,Town10HD_Opt,Stop sign violation,25.966,-1.048,2026-03-06 08:03:07.937574,60.58243560791016,26.117816925048828,0.0019985961262136,stop_sign_id=1062
participant_02,4,day,Town10HD_Opt,Stop sign violation,0.075,-0.026,2026-03-06 08:21:46.946892,25.08979225158692,69.99101257324219,0.0019379042787477,stop_sign_id=1120
participant_02,4,day,Town10HD_Opt,Solid line crossing,7.71,3.497,2026-03-06 08:22:07.107486,44.25316619873047,42.14031219482422,0.0019931411370635,Solid line crossing
participant_02,4,day,Town10HD_Opt,Solid line crossing,37.166,-0.58,2026-03-06 08:24:54.744635,48.66860580444336,-66.8571548461914,0.0019216537475585,Solid line crossing
participant_02,4,day,Town10HD_Opt,Solid line crossing,50.282,0.352,2026-03-06 08:25:59.865396,-44.318973541259766,27.31416702270508,0.0020418167114257,Solid line crossing
participant_02,5,day,Town10HD_Opt,Harsh braking,21.27,14.501,2026-03-06 08:29:27.372595,45.81046295166016,33.95097732543945,0.0019716643728315,decel_mps2=6.1
participant_02,5,day,Town10HD_Opt,Stop sign violation,43.086,-0.289,2026-03-06 08:30:06.440039,38.458683013916016,-67.32050323486328,0.0020239639561623,stop_sign_id=1200
participant_02,5,day,Town10HD_Opt,Vehicle collision,41.452,6.687,2026-03-06 08:32:09.168559,80.03003692626953,126.82511138916016,0.002091102534905,Vehicle collision
