user_id,run_id,weather,map_name,run_duration_seconds,run_duration_minutes,timestamp_end,hr_baseline,arousal_baseline
participant_01,2,day,Town10HD_Opt,293.066,4.884,2026-03-05T12:00:21.850132,72,0.455
participant_01,5,day,Town10HD_Opt,298.217,4.97,2026-03-05T12:04:58.216688,70,0.538
participant_01,3,day,Town10HD_Opt,293.898,4.898,2026-03-05T12:11:20.303032,66,0.245
participant_02,1,day,Town10HD_Opt,298.056,4.968,2026-03-06T07:42:31.082168,60,0.27
participant_02,2,day,Town10HD_Opt,298.22,4.97,2026-03-06T07:55:51.889322,59,0.324
participant_02,3,day,Town10HD_Opt,299.068,4.984,2026-03-06T08:03:55.716682,61,0.635
participant_02,4,day,Town10HD_Opt,298.041,4.967,2026-03-06T08:26:15.773518,61,0.433
participant_02,5,day,Town10HD_Opt,299.0,4.983,2026-03-06T08:33:43.951331,61,0.659
participant_02,6,day,Town10HD_Opt,298.217,4.97,2026-03-06T08:43:29.495851,60,0.535
participant_03,1,day,Town10HD_Opt,298.342,4.972,2026-03-10T07:37:29.501459,70,0.143
participant_04,1,day,Town10HD_Opt,298.047,4.967,2026-03-10T07:52:16.869302,67,0.695
participant_05,1,day,Town10HD_Opt,299.193,4.987,2026-03-10T08:07:11.575816,69,0.614
participant_06,1,day,Town10HD_Opt,299.0,4.983,2026-03-10T09:06:26.708840,86,0.557
participant_03,2,day,Town10HD_Opt,299.0,4.983,2026-03-10T09:19:58.999590,72,0.507
participant_01,4,day,Town10HD_Opt,298.143,4.969,2026-03-10T09:31:31.082599,68,0.265
participant_03,3,day,Town10HD_Opt,299.013,4.984,2026-03-10T09:34:59.012752,75,0.457
participant_04,2,day,Town10HD_Opt,299.0,4.983,2026-03-10T09:49:59.000118,66,0.4
participant_03,4,day,Town10HD_Opt,299.013,4.984,2026-03-10T09:49:59.012752,70,0.531
participant_05,2,day,Town10HD_Opt,299.0,4.983,2026-03-10T10:04:59.000118,69,0.479
participant_04,3,day,Town10HD_Opt,299.068,4.984,2026-03-10T10:04:59.068308,68,0.592
participant_05,3,day,Town10HD_Opt,293.066,4.884,2026-03-10T10:19:53.065890,70,0.515
participant_04,4,day,Town10HD_Opt,299.052,4.984,2026-03-10T10:19:59.052071,69,0.589
participant_05,4,day,Town10HD_Opt,299.052,4.984,2026-03-10T10:34:59.052071,70,0.531
participant_06,3,day,Town10HD_Opt,299.193,4.987,2026-03-10T10:34:59.193500,87,0.298
participant_06,4,day,Town10HD_Opt,293.898,4.898,2026-03-10T10:49:53.898157,87,0.385
participant_06,2,day,Town10HD_Opt,232.305,3.872,2026-03-11T10:26:40.515498,85,0.187
participant_07,1,day,Town10HD_Opt,299.16,4.986,2026-03-11T11:20:34.999197,84,0.384
participant_07,2,day,Town10HD_Opt,299.013,4.984,2026-03-11T11:28:59.875904,85,0.158
participant_07,3,day,Town10HD_Opt,293.066,4.884,2026-03-11T13:34:53.065890,85,0.486
participant_07,4,day,Town10HD_Opt,299.16,4.986,2026-03-11T13:49:59.160372,84,0.464
participant_08,3,day,Town10HD_Opt,293.066,4.884,2026-03-11T14:04:53.065890,74,0.504
participant_08,4,day,Town10HD_Opt,299.0,4.983,2026-03-11T14:19:59.000118,75,0.486
participant_08,1,day,Town10HD_Opt,298.207,4.97,2026-03-11T14:59:54.980332,75,0.581
participant_08,2,day,Town10HD_Opt,299.052,4.984,2026-03-11T15:07:23.418597,74,0.277
participant_09,1,day,Town10HD_Opt,299.0,4.983,2026-03-14T10:04:58.999590,79,0.528
participant_09,2,day,Town10HD_Opt,299.068,4.984,2026-03-14T10:19:59.068308,82,0.569
participant_09,3,day,Town10HD_Opt,299.0,4.983,2026-03-14T10:34:59.000118,83,0.582
participant_09,4,day,Town10HD_Opt,299.193,4.987,2026-03-14T10:49:59.193500,80,0.578
participant_10,1,day,Town10HD_Opt,298.056,4.968,2026-03-14T12:04:58.055924,66,0.117
participant_10,2,day,Town10HD_Opt,298.056,4.968,2026-03-14T12:19:58.055924,67,0.173
participant_10,3,day,Town10HD_Opt,299.068,4.984,2026-03-14T12:34:59.068308,68,0.315
participant_10,4,day,Town10HD_Opt,232.305,3.872,2026-03-14T12:48:52.304564,68,0.267
participant_11,1,day,Town10HD_Opt,298.056,4.968,2026-03-14T15:04:58.055924,86,0.329
participant_11,2,day,Town10HD_Opt,299.052,4.984,2026-03-14T15:19:59.052071,88,0.309
participant_11,3,day,Town10HD_Opt,299.16,4.986,2026-03-14T15:34:59.160372,89,0.406
participant_11,4,day,Town10HD_Opt,293.066,4.884,2026-03-14T15:49:53.065890,88,0.404
participant_12,1,day,Town10HD_Opt,299.068,4.984,2026-03-14T17:04:59.068308,67,0.39
participant_12,2,day,Town10HD_Opt,293.066,4.884,2026-03-14T17:19:53.065890,66,0.458
participant_12,3,day,Town10HD_Opt,293.066,4.884,2026-03-14T17:34:53.065890,66,0.472
participant_12,4,day,Town10HD_Opt,298.047,4.967,2026-03-14T17:49:58.046856,68,0.657
participant_13,1,day,Town10HD_Opt,298.143,4.969,2026-03-15T10:04:58.142825,95,0.499
participant_13,2,day,Town10HD_Opt,298.143,4.969,2026-03-15T10:19:58.142825,95,0.462
participant_13,3,day,Town10HD_Opt,293.066,4.884,2026-03-15T10:34:53.065890,95,0.477
participant_13,4,day,Town10HD_Opt,298.217,4.97,2026-03-15T10:49:58.216688,95,0.587
participant_14,1,day,Town10HD_Opt,232.305,3.872,2026-03-15T12:03:52.304564,64,0.517
participant_14,2,day,Town10HD_Opt,298.041,4.967,2026-03-15T12:19:58.041467,66,0.485
participant_14,3,day,Town10HD_Opt,293.066,4.884,2026-03-15T12:34:53.065890,63,0.593
participant_14,4,day,Town10HD_Opt,299.068,4.984,2026-03-15T12:49:59.068308,65,0.566
participant_15,1,day,Town10HD_Opt,298.22,4.97,2026-03-15T15:04:58.219806,59,0.243
participant_15,2,day,Town10HD_Opt,293.066,4.884,2026-03-15T15:19:53.065890,57,0.371
participant_15,3,day,Town10HD_Opt,298.217,4.97,2026-03-15T15:34:58.216688,57,0.462
participant_15,4,day,Town10HD_Opt,299.052,4.984,2026-03-15T15:49:59.052071,57,0.588
participant_16,1,day,Town10HD_Opt,293.898,4.898,2026-03-15T17:04:53.898157,81,0.375
participant_16,2,day,Town10HD_Opt,298.207,4.97,2026-03-15T17:19:58.207493,81,0.415
participant_16,3,day,Town10HD_Opt,299.193,4.987,2026-03-15T17:34:59.193500,80,0.485
participant_16,4,day,Town10HD_Opt,298.041,4.967,2026-03-15T17:49:58.041467,80,0.469
participant_17,1,day,Town10HD_Opt,299.16,4.986,2026-03-16T10:04:59.160372,57,0.506
participant_17,2,day,Town10HD_Opt,298.143,4.969,2026-03-16T10:19:58.142825,57,0.586
participant_17,3,day,Town10HD_Opt,298.047,4.967,2026-03-16T10:34:58.046856,57,0.559
participant_17,4,day,Town10HD_Opt,293.066,4.884,2026-03-16T10:49:53.065890,56,0.581
participant_18,1,day,Town10HD_Opt,298.047,4.967,2026-03-16T12:04:58.046856,71,0.443
participant_18,2,day,Town10HD_Opt,298.217,4.97,2026-03-16T12:19:58.216688,70,0.603
participant_18,3,day,Town10HD_Opt,298.047,4.967,2026-03-16T12:34:58.046856,71,0.627
participant_18,4,day,Town10HD_Opt,299.013,4.984,2026-03-16T12:49:59.012752,72,0.701
participant_19,1,day,Town10HD_Opt,298.217,4.97,2026-03-16T15:04:58.216688,65,0.33
participant_19,2,day,Town10HD_Opt,298.342,4.972,2026-03-16T15:19:58.342327,66,0.575
participant_19,3,day,Town10HD_Opt,298.342,4.972,2026-03-16T15:34:58.342327,65,0.444
participant_19,4,day,Town10HD_Opt,299.16,4.986,2026-03-16T15:49:59.160372,65,0.554
participant_20,1,day,Town10HD_Opt,298.041,4.967,2026-03-16T17:04:58.041467,80,0.247
participant_20,2,day,Town10HD_Opt,299.052,4.984,2026-03-16T17:19:59.052071,80,0.222
participant_20,3,day,Town10HD_Opt,299.0,4.983,2026-03-16T17:34:59.000118,80,0.174
participant_20,4,day,Town10HD_Opt,298.143,4.969,2026-03-16T17:49:58.142825,82,0.364
participant_21,1,day,Town10HD_Opt,299.013,4.984,2026-03-17T10:04:59.012752,74,0.331
participant_21,2,day,Town10HD_Opt,299.0,4.983,2026-03-17T10:19:58.999590,76,0.323
participant_21,3,day,Town10HD_Opt,293.066,4.884,2026-03-17T10:34:53.065890,76,0.351
participant_21,4,day,Town10HD_Opt,298.041,4.967,2026-03-17T10:49:58.041467,75,0.441
participant_22,1,day,Town10HD_Opt,298.22,4.97,2026-03-17T12:04:58.219806,58,0.374
participant_22,2,day,Town10HD_Opt,298.056,4.968,2026-03-17T12:19:58.055924,61,0.325
participant_22,3,day,Town10HD_Opt,299.013,4.984,2026-03-17T12:34:59.012752,59,0.323
participant_22,4,day,Town10HD_Opt,293.066,4.884,2026-03-17T12:49:53.065890,60,0.48
participant_23,1,day,Town10HD_Opt,299.0,4.983,2026-03-17T15:04:59.000118,87,0.617
participant_23,2,day,Town10HD_Opt,299.0,4.983,2026-03-17T15:19:58.999590,88,0.662
participant_23,3,day,Town10HD_Opt,299.052,4.984,2026-03-17T15:34:59.052071,87,0.7
participant_23,4,day,Town10HD_Opt,298.056,4.968,2026-03-17T15:49:58.055924,87,0.699
participant_24,1,day,Town10HD_Opt,299.068,4.984,2026-03-17T17:04:59.068308,80,0.467
participant_24,2,day,Town10HD_Opt,298.217,4.97,2026-03-17T17:19:58.216688,81,0.556
participant_24,3,day,Town10HD_Opt,298.047,4.967,2026-03-17T17:34:58.046856,80,0.57
participant_24,4,day,Town10HD_Opt,293.066,4.884,2026-03-17T17:49:53.065890,80,0.571
participant_25,1,day,Town10HD_Opt,298.217,4.97,2026-03-18T10:04:58.216688,72,0.339
participant_25,2,day,Town10HD_Opt,299.16,4.986,2026-03-18T10:19:59.160372,73,0.405
participant_25,3,day,Town10HD_Opt,299.052,4.984,2026-03-18T10:34:59.052071,74,0.445
participant_25,4,day,Town10HD_Opt,299.193,4.987,2026-03-18T10:49:59.193500,72,0.414
participant_26,1,day,Town10HD_Opt,232.305,3.872,2026-03-18T12:03:52.304564,94,0.494
participant_26,2,day,Town10HD_Opt,298.217,4.97,2026-03-18T12:19:58.216688,95,0.5
participant_26,3,day,Town10HD_Opt,293.898,4.898,2026-03-18T12:34:53.898157,94,0.5
